ASFIS species (Name),FAO major fishing area (Name),Unit (Name),Unit,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S,[2019],S,[2020],S
Flyingfishes nei,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",2791,,2593,,3231.95,,5953,,4951.4,E,6793,,7267,,6629,,5455.1,,2276.39,,3101.42,
Garfish,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0.32,
Great barracuda,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,575.95,,752.4,
Greater amberjack,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,15.61,,36.42,
Guachanche barracuda,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,6383.99,,7370,E
Guinean amberjack,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,4.4,
Guinean barracuda,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,6.25,,0,
Halfbeaks nei,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",1944,,2643,,2404.49,,3486,,2652.05,,766,,711,,705,,1015.3,,771.37,,2030.44,
"Herrings, sardines nei","Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Hound needlefish,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...,12,
Jack and horse mackerels nei,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",574747,,384079,,247849,,214500,,270692,,311328,,414294,,297530.93,,257731.03,,249901.57,,229131.73,E
"Jacks, crevalles nei","Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",4720,,7418,,6813,,7407,,19312,,6510,E,8533,E,8018,E,16754.26,,21716.97,,18977.3,E
Leerfish,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",842,,1795,,747,,759,,1718,,897,,2310,,1743,,565.5,,478.93,,1990.09,
Longfin pompano,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,,4.54,
Longfin yellowtail,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,25,,20,,19,,10,,10.66,,11.11,
Mackerels nei,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",2918,,3086,,3571,,3871,,3880,,3912,,3883,,4816,,4771,,4549.33,,4423.1,
Madeiran sardinella,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",162528,,214854,,252585.09,,230083,,174054.76,,156812,,128367,,159350,,136990.3,,128533.83,,137445.06,
Mediterranean horse mackerel,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,10.5,,0.33,
"Needlefishes, etc. nei","Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",816,,898,,834,,1335,,1293,,2355,,2615,,1319,,1149,,1649.28,,1445.71,E
Opah,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...
Pelagic percomorphs nei,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",4856,,4008,,4901,,4913,,3128,,3205,,2567,,2671,,4310,,2188,,1866.6,
Pompano,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",13,,20,,0,...,0,...,3,,19,,20,E,0,...,0,...,10.88,,15.53,
Pompano dolphinfish,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,287.52,,276.62,E
Pompanos nei,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",450,,54,,19,,13,,45,,10,,30,,72,,510,,17.25,,43.4,
Rainbow runner,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",106,,167,E,123,E,158,E,277,E,287,,655,,325,E,189,E,265.19,,264.4,
Ribbonfishes,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,5156,,5479,,5799,,5470,E
Round sardinella,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",321466,,275702,,220822.99,,212908,,239477.51,,218222,,208932,,236296,,166227,,156142.09,,120908.41,
Sardinellas nei,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",393872,,437108,,456321.71,,406274,,461876.9,,338121,,486495,,510019.18,,542915.2,,451929.63,E,425878.08,E
Scads nei,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",2187,,8082,,6420.18,,1975,,5745.32,E,6771,,6542,,14330,,11767.73,,10623.88,,13460.39,
Scomber mackerels nei,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,1109.4,,0,...
Senegal jack,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,152,,212,,250,,148,,282,,274.29,,121.05,
"Suckerfishes, remoras nei","Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,541,,18,,3,,0,...,0,...,0,...
Vadigo,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",833,,96,,458,,231,,309,,346,,444,,1328,,1131,,1263.56,,1194.1,
White trevally,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,62.38,,63.78,
