ASFIS species (Name),FAO major fishing area (Name),Unit (Name),Unit,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S,[2019],S,[2020],S
Atlantic bumper,"Atlantic, Southeast",Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,56,,0,...,0,...,0,...
Atlantic chub mackerel,"Atlantic, Southeast",Tonnes - live weight,"TLW, Number",13164,E,11967,E,10991,E,11296,E,15411,,42990,,47369,,18742,E,19834,E,33374.63,,36889.26,
Atlantic fanfish,"Atlantic, Southeast",Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,1,,0,,1,,1,,2,,0,...
Atlantic moonfish,"Atlantic, Southeast",Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,2,,2425,,0,,0,...,0,...
Atlantic pomfret,"Atlantic, Southeast",Tonnes - live weight,"TLW, Number",1035,,1829,,2633,,6228,,5650,,5137,,4777,,3456,,1836,,683.9,,677.88,
Barracudas nei,"Atlantic, Southeast",Tonnes - live weight,"TLW, Number",800,E,1500,E,2200,E,2900,E,3768,,1564,,2000,E,4250,,955,,0,...,0,...
"Barracudas, etc. nei","Atlantic, Southeast",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0.14,
Blue butterfish,"Atlantic, Southeast",Tonnes - live weight,"TLW, Number",0,...,0,...,0,N,0,...,0,...,0,...,0,...,0,N,0,...,0,...,0,...
Blue runner,"Atlantic, Southeast",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0.6,
Bluefish,"Atlantic, Southeast",Tonnes - live weight,"TLW, Number",20,E,24,E,45,E,43,E,57,,517,,1042,E,1973,,2611,,4.42,,1.06,
Cape horse mackerel,"Atlantic, Southeast",Tonnes - live weight,"TLW, Number",219134,,258105,,356794,,334936,,347505,,396074,,385566,,408520,,376983,,328731.94,,219493.46,
Carangids nei,"Atlantic, Southeast",Tonnes - live weight,"TLW, Number",3,,1,,2,,4,,1,,60,,2,,2,,1,,0.5,,0.47,
Clupeoids nei,"Atlantic, Southeast",Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...
Cobia,"Atlantic, Southeast",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,1.06,
Common dolphinfish,"Atlantic, Southeast",Tonnes - live weight,"TLW, Number",12,,34,,39,,69,,230.29,,124.19,,47.48,,1504.8,,4149.1,,1779.11,,13.47,
Crevalle jack,"Atlantic, Southeast",Tonnes - live weight,"TLW, Number",0,...,0,,0,,0,,0,,0,,548,,226,,100,E,19,,84,
Cunene horse mackerel,"Atlantic, Southeast",Tonnes - live weight,"TLW, Number",30000,E,45000,E,68974,E,80872,E,96112,,78883,,53995,,92308,,39124,,64442.86,,71245.48,
European anchovy,"Atlantic, Southeast",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,45,,0,...,283,,128,,0,...,0,...,0,...
False scad,"Atlantic, Southeast",Tonnes - live weight,"TLW, Number",3,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Jack and horse mackerels nei,"Atlantic, Southeast",Tonnes - live weight,"TLW, Number",0,...,40,,115,,2669,,0,N,12601,,1166,,88,,885,,0,...,0,...
"Jacks, crevalles nei","Atlantic, Southeast",Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,25,,0,...,0,...,0,...
Leerfish,"Atlantic, Southeast",Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,9,,14,,231,,14,,0,...,0,...
Mackerels nei,"Atlantic, Southeast",Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...
Ocean sunfish,"Atlantic, Southeast",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Opah,"Atlantic, Southeast",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0.49,
Pacific sardine,"Atlantic, Southeast",Tonnes - live weight,"TLW, Number",137315,,141094,,144222,,128276,,140265,,121550,,88003,,47539,,38568,,5267.25,,24566.6,
Pelagic percomorphs nei,"Atlantic, Southeast",Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...
Pompano,"Atlantic, Southeast",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Round sardinella,"Atlantic, Southeast",Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,16,,0,,0,,0,,0,...,0,...
Sardinellas nei,"Atlantic, Southeast",Tonnes - live weight,"TLW, Number",79000,E,88994,E,89000,E,94000,E,98110,,212773,,147010,,200050,,138085,,170797,,132336,
Scads nei,"Atlantic, Southeast",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Scomber mackerels nei,"Atlantic, Southeast",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,74.02,,265.99,
Southern African anchovy,"Atlantic, Southeast",Tonnes - live weight,"TLW, Number",217192,,120154,,307606,,78801,,240338,,237630,,260205,,216000,,253233,,164713.01,,284975.08,
Whitehead's round herring,"Atlantic, Southeast",Tonnes - live weight,"TLW, Number",88574,,64695,,68687,,31534,,34434,,13458,,53749,,55000,,48335,,47276.1,,53881.64,
Yellowtail amberjack,"Atlantic, Southeast",Tonnes - live weight,"TLW, Number",246,,229,,409,,755,,1074,,1023,,1492,,555,,676,,1875.07,,2401.34,
[Odontesthes smitti],"Atlantic, Southwest",Tonnes - live weight,"TLW, Number",0,N,0,N,0,,0,,0,,0,,0,,0,,0,,0,...,0,...
Amberjacks nei,"Atlantic, Southwest",Tonnes - live weight,"TLW, Number",842,,131,,143,,123,,149,,134,E,134,E,135,E,134,E,134.22,E,134,E
American harvestfish,"Atlantic, Southwest",Tonnes - live weight,"TLW, Number",1463,,788,,444,,310,,325,,353,,555,,167,,186,,284,,196.66,
"Anchovies, etc. nei","Atlantic, Southwest",Tonnes - live weight,"TLW, Number",4627,,4306,,4686,,4044,,4882,,4400,E,4400,E,4400,E,4400,E,4400,E,4400,E
Argentine anchovy,"Atlantic, Southwest",Tonnes - live weight,"TLW, Number",26323,,21164,,15434,,18208,,13955,,14411,,8713,,10546,,8745,,6108,,8266.05,
Argentine menhaden,"Atlantic, Southwest",Tonnes - live weight,"TLW, Number",97,,0,...,304,,857,,1832,,3005,,2990,,3943,,3260,,2280,E,1530,E
Atlantic bumper,"Atlantic, Southwest",Tonnes - live weight,"TLW, Number",2806,,2612,,2842,,2453,,2961,,2660,E,2660,E,2660,E,2660,E,2660,E,2660,E
Atlantic chub mackerel,"Atlantic, Southwest",Tonnes - live weight,"TLW, Number",32532,,32961,,25917,,22582,,12926,,23101,,16803,,13698,,10270,,12940,,18347.14,
Atlantic moonfish,"Atlantic, Southwest",Tonnes - live weight,"TLW, Number",2046,,1904,,2072,,1788,,2158,,1940,E,1940,E,1940,E,1940,E,1940,E,1940,E
Atlantic thread herring,"Atlantic, Southwest",Tonnes - live weight,"TLW, Number",8710,,8105,,8820,,7612,,9189,,8260,E,8260,E,8260,E,8260,E,8260,E,8260,E
Ballyhoo halfbeak,"Atlantic, Southwest",Tonnes - live weight,"TLW, Number",1136,,1057,,1150,,993,,1198,,1080,E,1080,E,1080,E,1080,E,1080,E,1080,E
Barracudas nei,"Atlantic, Southwest",Tonnes - live weight,"TLW, Number",389,,362,,394,,350,,418,,381,E,382,E,387,E,375,E,370,E,370,E
Bigeye scad,"Atlantic, Southwest",Tonnes - live weight,"TLW, Number",646,,601,,654,,565,,682,,610,E,610,E,610,E,610,E,610,E,610,E
Blue jack mackerel,"Atlantic, Southwest",Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...
Blue runner,"Atlantic, Southwest",Tonnes - live weight,"TLW, Number",1634,,1520,,1654,,1428,,1724,,1550,E,1550,E,1550,E,1550,E,1550,E,1550,E
Bluefish,"Atlantic, Southwest",Tonnes - live weight,"TLW, Number",4429,,3671,,4064,,4034,,4607,,4840,E,3929,E,4285,E,4675,E,4282,E,3987.49,E
Brazilian menhaden,"Atlantic, Southwest",Tonnes - live weight,"TLW, Number",1027,,880,,1275,,1058,,1375,,893,E,877,E,842,E,839,E,886,E,931.17,E
Brazilian sardinella,"Atlantic, Southwest",Tonnes - live weight,"TLW, Number",62134,,75015,,95920,,98315,,51781,,46400,E,46400,E,46400,E,46400,E,46400,E,46400,E
"Butterfishes, pomfrets nei","Atlantic, Southwest",Tonnes - live weight,"TLW, Number",35,,36,,58,,46,,34,,32,,42,,35,,36,,343.51,,139.96,
Carangids nei,"Atlantic, Southwest",Tonnes - live weight,"TLW, Number",1856,,1727,,1879,,1622,,1958,,1770,E,1770,E,1770,E,1770,E,1770,E,1770,E
Clupeoids nei,"Atlantic, Southwest",Tonnes - live weight,"TLW, Number",17477,,16264,,17698,,15274,,18438,,16530,E,19400,E,18700,E,18700,E,18700,E,18700,E
Cobia,"Atlantic, Southwest",Tonnes - live weight,"TLW, Number",923,,859,,935,,807,,974,,880,E,880,E,880,E,880,E,880,E,880,E
Common dolphinfish,"Atlantic, Southwest",Tonnes - live weight,"TLW, Number",8002,,4382,,646.78,,855.62,,818.5,,1342.07,,1511.43,,2055.83,,1260.86,,884.75,,777.42,
Crevalle jack,"Atlantic, Southwest",Tonnes - live weight,"TLW, Number",0,...,0,...,15.57,,4.73,,2.1,,0.91,,0.76,,1.02,,1.56,,2.28,,1.29,
Falkland sprat,"Atlantic, Southwest",Tonnes - live weight,"TLW, Number",0,N,4,,49,,12,,25,,145,,1,,0,,1,,2,,0,...
Flyingfishes nei,"Atlantic, Southwest",Tonnes - live weight,"TLW, Number",1056,,982,,1069,,923,,1114,,1000,E,1000,E,1000,E,1000,E,1000,E,1000,E
"Jacks, crevalles nei","Atlantic, Southwest",Tonnes - live weight,"TLW, Number",5952,,5540,,6028,,5202,,6280,,5650,E,5650,E,5650,E,5650,E,5650,E,5650,E
Mackerels nei,"Atlantic, Southwest",Tonnes - live weight,"TLW, Number",1911,,1,,0,,0,,0,,0,,0,,510,,0,,6.73,,0,...
Marini's anchovy,"Atlantic, Southwest",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Ocean sunfish,"Atlantic, Southwest",Tonnes - live weight,"TLW, Number",22,,16,,1,,0,,0,,0,,0,,0,,0,,0,N,0,
Opah,"Atlantic, Southwest",Tonnes - live weight,"TLW, Number",0,...,0,...,0,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Parona leatherjacket,"Atlantic, Southwest",Tonnes - live weight,"TLW, Number",797,,738,,1355,,1341,,989,,732,,481,,480,,554,,372,,254.11,
Pelagic percomorphs nei,"Atlantic, Southwest",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0.3,
Pompanos nei,"Atlantic, Southwest",Tonnes - live weight,"TLW, Number",1094,,1018,,1108,,956,,1154,,1040,E,1040,E,1040,E,1040,E,1040,E,1040,E
Rough scad,"Atlantic, Southwest",Tonnes - live weight,"TLW, Number",1724,,1764,,1665,,1576,,1792,,1508,E,1535,E,1509,E,1519,E,1483,E,1500.14,E
Sardinellas nei,"Atlantic, Southwest",Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...
Scaled sardines,"Atlantic, Southwest",Tonnes - live weight,"TLW, Number",280,,260,,283,,245,,295,,265,E,265,E,265,E,265,E,265,E,265,E
Scomber mackerels nei,"Atlantic, Southwest",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,41.07,,0.2,
Silversides(=Sand smelts) nei,"Atlantic, Southwest",Tonnes - live weight,"TLW, Number",565,,375,,283,,569,,490,,474,,407,,136,,367,,149,,335.44,
Southern opah,"Atlantic, Southwest",Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,1,,1,,0,,1,,0,,0,...
Southwest Atlantic butterfish,"Atlantic, Southwest",Tonnes - live weight,"TLW, Number",2489,,2596,,1568,,2178,,1346,,1258,,1555,,863,,409,,988.13,,768.13,
Yellowtail amberjack,"Atlantic, Southwest",Tonnes - live weight,"TLW, Number",356,,974,,1061,,922,,1110,,997,E,995,E,991,E,992,E,993,E,990,E
[Hemiramphus spp],"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",0,...,0,...,135.31,,169.78,,175.63,,250.9,,164.56,,102.83,,128.26,,120.14,,74.36,
African pompano,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",4,,3,,1,,5,,4.33,,4.39,,4,,6,,6,,6.03,,5.1,
Amberjacks nei,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",1216,,1564,,1671,,1496,,1676,,2057,,2235,,1781.76,,2485.02,,1808.2,,1731.23,
American harvestfish,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,2,,1,,0,N,0,N
"Anchovies, etc. nei","Atlantic, Western Central",Tonnes - live weight,"TLW, Number",534,,43,,47,,104,,134,,56,,62,,65,,71,,77.71,,72.5,
Atlantic anchoveta,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",210,E,1,,3,,10,E,17,,0,,5,,5,E,5,E,5,E,5,E
Atlantic bumper,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",16.02,,35,,64,,45,,32,,27,,320,,375,E,354,E,537.02,E,444.81,E
Atlantic butterfish,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",2,,54,,108,,73,,8,,10,,9,,12,,68,,20,,422,
Atlantic chub mackerel,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",150,E,447,,800,,923,E,1103,,1206,,1754,,1822,E,1802,E,1783,E,1782.86,E
Atlantic menhaden,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Atlantic moonfish,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",1007.25,E,500.45,,807,,798,E,792,,453,,527,,533,E,538,E,535,E,526.05,E
Atlantic needlefish,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Atlantic thread herring,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",5277,E,2120,,3798,,2822,,2408,,2469,,3171,,3518.14,,2925.1,,3877.91,,2753.39,
Balao halfbeak,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",71,,48,,65,,77,,43,,43,E,92,,31,,49,,52.74,,47.73,
Ballyhoo halfbeak,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",509.54,,477.23,,384.28,,465.12,,374.77,,454.58,,542.47,,680.43,,426.44,,617.73,,509.36,
Banded rudderfish,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",22,,47,,40,,38,,28,,32,,24,,16,,12,,18,,13,
Bar jack,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",24.08,,42.16,,52.99,,57.94,,47.77,,44.47,,1665.32,,1702.94,E,1704.24,E,1758.29,E,1714.27,E
Barracudas nei,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",1318.68,E,1059.7,,991.89,,1475.54,,1554.08,,962.25,,960.07,,1367.28,,986.17,,1012.97,,984.23,
"Barracudas, etc. nei","Atlantic, Western Central",Tonnes - live weight,"TLW, Number",0,N,1,,0,...,1,,4,,3,,4,,1,,3,,3.02,,4,
Big-scale pomfret,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,N,0,...,0,...,0,...,0,...,0,...,0,N,0,...,0,N
Bigeye scad,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",795,E,312,,547.33,,1513.48,E,2644.92,,494.76,,569.9,,516.77,,684.5,,490.45,,491.69,
Black jack,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,N,0,...
Blue runner,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",4812,,4333.06,,5467.78,,4937.79,,7846.76,,9800.01,,10408.57,,10846.16,,11918.9,,11199.45,,9884.09,
Bluefish,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",440,E,435,,782,,653,E,478,,357,,316,,291,,301,,280,,217,
Bluntnose jack,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",0,...,1,,5,,3,,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Brazilian sardinella,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Broad-striped anchovy,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",0,,1,,2,,0,N,0,,0,,0,,0,,0,,0,,0,
"Butterfishes, pomfrets nei","Atlantic, Western Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Carangids nei,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",792.97,E,398.84,,513.89,,894.51,,807.72,,931.36,,731.86,,841.63,,1489.29,,792.72,,466.93,
Clupeoids nei,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",2828.31,E,1673.11,E,256.88,,567.4,,835.78,,867.81,,837.38,,872.61,,832.08,,895.25,,822.31,
Cobia,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",576,,212,,356,,599,,547,,385,,428,,464,,447,,465,,437.52,
Common dolphinfish,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",4143.67,,6464.09,,5439.31,,5357.14,,4995.78,,5291.77,,3787.87,,3631.71,,4373.49,,4448.49,,2641.86,
Crevalle jack,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",280,,143,,217.14,,285.71,,348.14,,339.67,,2766.06,,2860.33,E,2815.96,E,3558.33,E,3717.84,E
Florida pompano,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",119,,94,,93,,106,,86,,74,,156,,92.02,,115,,168.19,,99.21,
Flyingfishes nei,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",2641,,1046,,385.01,,2110.78,,1553.28,,427,,522.87,,807.3,E,813.53,,801.16,E,812.47,E
Great barracuda,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0.03,,0,...,0,...,0,...,0,...,0,...,33.45,,64.67,
Greater amberjack,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",687,,682.05,,575,,590,,621,,539.01,,534.03,,511,,448,,374.79,,334.2,
Guachanche barracuda,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,107.06,,42.09,
Gulf butterfishes nei,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",585,E,476,,455,,127,,159,,179,,268,,176,,92,,6,,4,
Gulf menhaden,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",438674,,623438,,578751,,440707,,385022,,539471,,618845,,461353,,529052,,487468,,412322,
Halfbeaks nei,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",62,,29,,84,,2,,53,,2,E,2,E,2,E,2,E,2,E,2,E
Horse-eye jack,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",0.28,,0.71,,0.65,,0.82,,0.93,,1.27,,0.72,,0.74,,0.77,,0.79,,1.32,
"Jacks, crevalles nei","Atlantic, Western Central",Tonnes - live weight,"TLW, Number",10829,,12300,,14679,,11597,,9247,,16944,,10772,,14221.23,,11710,,9251.35,,8671.02,
Lesser amberjack,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",19,,23,,5,,10,,3,,2,,2,,9,,1,,2,,1,
Live sharksucker,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",0,N,0,...,0,...,0,...,0,N,0,...,0,...,0,N,0,N,0,...,0,...
Longfin yellowtail,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",102,,120,,129,,96,,94,,69,,387.05,,396,E,398.26,E,407.03,E,399,E
Lookdown,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",4,,4,,6,,3,,4,,4,,3,,3,,1,,4,,17,
Mackerel scad,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",0,...,0,...,24.2,,69.45,,57.59,,0.12,,26.29,,16.85,,46.93,,60.17,,84.15,
Mackerels nei,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",830.7,E,500.47,E,565.85,E,615.22,E,525.73,E,476.53,E,546.7,E,546.5,E,546.2,E,546.45,E,0.16,
Maracaibo leatherjacket,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,286,,295,E,295,E,295,E,295,E
"Needlefishes, etc. nei","Atlantic, Western Central",Tonnes - live weight,"TLW, Number",79.46,,136.6,,234.95,,201.59,,162.22,,191,,137.07,,114.68,,166.64,,119.62,,37.21,
Opah,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",0,...,0,N,0,...,0,...,0,...,0,N,0,...,0,...,0,...,0,...,0,...
Pelagic percomorphs nei,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",620,E,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Permit,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",2.07,,1,,1,,2,,6,,3,,3,,7,,2,,6,,8,
Pilotfish,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,N,0,...,0,...,0,...,0,...,0,...,0,...
"Pomfrets, ocean breams nei","Atlantic, Western Central",Tonnes - live weight,"TLW, Number",0,...,0,N,0,N,0,N,0,N,0,...,0,...,0,...,0,...,0,...,0,N
Pompanos nei,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",831,,557,,845,,1575,,737,,2348,,724,,565.21,,800,,719.66,,686.2,
Rainbow runner,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",18,,18.29,,69.64,,33.42,,21.33,,19.02,,34.96,,60.32,,41.92,,64.69,,67.19,
Red-eye round herring,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Rough scad,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,1944,,2005,E,2005,E,2005,E,2005,E
Round sardinella,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",42827,,34759,,42344,,46298,E,50698,,79849,,123377,,126766,E,127208,E,126530,E,115299,E
Round scad,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0.51,,1.77,,0.82,,0,...,0,...,0,...,0,...,0,...,0,...
Sardinellas nei,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",3.03,,5.87,,8.22,,8.76,,9.81,,7.89,,6.69,,3.9,,4.18,,6.06,,7.31,
Scads nei,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",569,,662,,253,,504,,387,,381,E,458,,645,,469,,121.35,E,141.08,
Scaled herring,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",5,,5,,13,,11,,13,,6,,2,,144,,136,,43,,26,
Scaled sardines,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",1409,,1254,,786,,826,,997,,1015,E,852,E,785.07,E,688.09,E,654.82,E,743.86,E
Scomber mackerels nei,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",0,...,3,,0,...,1,,0,N,0,...,0,...,0,...,0,...,0,...,0,...
Southern sennet,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0.23,,0,...,0,...,0,...,0,...,0,...,0.67,,0.68,
"Suckerfishes, remoras nei","Atlantic, Western Central",Tonnes - live weight,"TLW, Number",0,N,0,...,0,...,0,N,0,N,0,N,0,N,0,...,0,N,0,N,0,...
Yellow jack,"Atlantic, Western Central",Tonnes - live weight,"TLW, Number",12.23,,6.29,,22.48,,18.54,,43.93,,13.85,,1833.03,,1894.03,E,1893.02,E,1893,E,1891.04,E
Atlantic pomfret,"Indian Ocean, Antarctic",Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Southern opah,"Indian Ocean, Antarctic",Tonnes - live weight,"TLW, Number",0,,0,N,0,,0,,0,,1,,0.1,,0.03,,0,,0.03,,0,...
[Hemiramphus spp],"Indian Ocean, Eastern",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,343.61,,347.25,,283.3,,212.82,,263.47,,237.49,,258.3,,224.26,
Amberjacks nei,"Indian Ocean, Eastern",Tonnes - live weight,"TLW, Number",0,N,0,N,0,,0.02,,0,,0,,0,,0,,7.55,,3.26,,2.95,
"Anchovies, etc. nei","Indian Ocean, Eastern",Tonnes - live weight,"TLW, Number",72127,,75039,,79024,,83697,,86671,E,54083,E,49980,,48078,,61207.61,,68290.26,,67136.38,
Bali sardinella,"Indian Ocean, Eastern",Tonnes - live weight,"TLW, Number",71611,,32475,,19663,,26219,,39423,,32658,,11544,,17892.98,,15038.6,,86005.05,,46633.49,
Barracudas nei,"Indian Ocean, Eastern",Tonnes - live weight,"TLW, Number",17151,,18203,,12464,,12023,,18072,E,24593,E,30927,,27543,,35147.86,,28528.77,,15830.79,
Bigeye scad,"Indian Ocean, Eastern",Tonnes - live weight,"TLW, Number",28566,,24795,,25490,,20483,,22841,,23718,,34444,,36318,,35046,,51991.68,,40890.87,
Black pomfret,"Indian Ocean, Eastern",Tonnes - live weight,"TLW, Number",15190,,10132,,12940,,14903,,15198,,14276,,14849,,16900,E,14324.01,,14599.82,,18272.12,
Blackbanded trevally,"Indian Ocean, Eastern",Tonnes - live weight,"TLW, Number",541,,548,,759,,213,,101,,44,,48,,107,,92,,118,,36.68,
Blackflash ribbonfish,"Indian Ocean, Eastern",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,,0.01,,0,,0,,0,,0,,0,,0,
Blue jack mackerel,"Indian Ocean, Eastern",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,11.61,,12.53,,1250.18,,7472.18,,3.55,,7.65,,21.63,,10.7,
Blue mackerel,"Indian Ocean, Eastern",Tonnes - live weight,"TLW, Number",146,,1133,,2109,,466.84,,728.25,,1280.02,,5314.05,,3550.98,,1255.4,,1116.96,,2846.11,
Bluefish,"Indian Ocean, Eastern",Tonnes - live weight,"TLW, Number",0,N,0,N,0,N,0,,0,,0,,0.01,,0,,0,,0,,0,
"Butterfishes, pomfrets nei","Indian Ocean, Eastern",Tonnes - live weight,"TLW, Number",19781,,21664,,37372,,29176,,31611,E,28184,E,29799,,31094,,28594.98,,34100.23,,55873.86,
Carangids nei,"Indian Ocean, Eastern",Tonnes - live weight,"TLW, Number",64449,,56327,,58357,,55886,,82210,E,52936,,61474,,64466,,37152.04,,38345.23,,27547.91,
Clupeoids nei,"Indian Ocean, Eastern",Tonnes - live weight,"TLW, Number",175300,,200553,,227988,,229635.02,,360620.99,E,393204.04,E,360346.41,,376010.01,,331823.87,,311027.65,,267354.13,
Cobia,"Indian Ocean, Eastern",Tonnes - live weight,"TLW, Number",236,,441,,197,,306,,320,,131,,115,,114,,148,,211.71,,1153.35,
