Country (Name),ASFIS species (Name),Unit (Name),Unit,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S,[2019],S,[2020],S
Northern America,"Barracudas, etc. nei",Tonnes - live weight,"TLW, Number",0,N,1,,0,...,1,,4,,3,,4,,1,,3,,3,,4,
Southern Europe,"Barracudas, etc. nei",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,43.46,
Northern America,Bay anchovy,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,N,0,...,0,N,0,...,0,...
Southern Europe,Big-scale pomfret,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0.04,
Northern America,Big-scale pomfret,Tonnes - live weight,"TLW, Number",0,...,0,...,0,N,0,...,0,...,0,...,0,...,0,...,0,N,0,...,0,N
Southern Europe,Big-scale sand smelt,Tonnes - live weight,"TLW, Number",0,...,6,,9,,12,,10,,11,,6,,6,,13,,291.19,,47.98,
Eastern Europe,Big-scale sand smelt,Tonnes - live weight,"TLW, Number",1096,,901,,505,,4048,,1773,,558,,397,,465,,752,,352.75,,318,
Others,Big-scale sand smelt,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...
Polynesia,Bigeye barracuda,Tonnes - live weight,"TLW, Number",0,,0.04,,0,,0.07,,0.14,,0.13,,0.38,,0.42,,0.33,,0.22,,0.16,
Eastern Africa,Bigeye scad,Tonnes - live weight,"TLW, Number",0,...,0,...,3.55,,40.93,,26.76,,10.37,,177.34,,88.96,,1.63,,18.24,,23.64,
Polynesia,Bigeye scad,Tonnes - live weight,"TLW, Number",0,,0,...,1.26,,0.28,,0.02,,1.16,,0,...,0,...,0,...,0.01,,0,...
Micronesia,Bigeye scad,Tonnes - live weight,"TLW, Number",7.59,,12.28,,11.72,,6.88,,1.82,,0.16,,1.59,,3.78,,3.85,,6.19,,0.9,
Northern America,Bigeye scad,Tonnes - live weight,"TLW, Number",169,,97,,165,,185,,195,,148,,269,,176,,201,,117,,132,
South-Eastern Asia,Bigeye scad,Tonnes - live weight,"TLW, Number",202399,,200640,,198157,,212671,,200055,,209211,,213091,,204436.88,,204873,,248889.34,,228825.11,
Central America,Bigeye scad,Tonnes - live weight,"TLW, Number",212,,320,,122,,505,,578,,446,,942,,495,,1055,,592,,564.77,
South America,Bigeye scad,Tonnes - live weight,"TLW, Number",1146,,601,,654,,1565,E,2917,,610,E,617,E,666,E,619,E,790.35,E,694.06,E
Caribbean,Bigeye scad,Tonnes - live weight,"TLW, Number",242,,290,,476.33,,412.48,,304.92,,354.76,,423.91,,397.77,,586.5,,296.1,,397.63,
Polynesia,Bigeye trevally,Tonnes - live weight,"TLW, Number",0.03,,0,...,0,...,0.04,,0.06,,0.03,,0.15,,0.32,,0.03,,0.14,,0.26,
Western Asia,Bigeye trevally,Tonnes - live weight,"TLW, Number",150,,150,,142,,154,,126,,147,,143,,140,E,132,,129.57,,18.75,
Eastern Africa,Bigeye trevally,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,245.13,,183.4,
Northern America,Black jack,Tonnes - live weight,"TLW, Number",0,N,0,N,0,N,1,,0,N,0,...,0,...,0,N,0,...,0,N,0,N
Micronesia,Black jack,Tonnes - live weight,"TLW, Number",0.41,,0.38,,0.12,,0.33,,0.07,,0.03,,0.06,,0.18,,0.09,,0.07,,0.08,
Polynesia,Black jack,Tonnes - live weight,"TLW, Number",0.38,,0.12,,0.03,,0.09,,0.11,,0.34,,0.45,,0.51,,0.31,,0.44,,0.15,
South-Eastern Asia,Black pomfret,Tonnes - live weight,"TLW, Number",69764,,55034,,56955,,64333,,67246,,60993,,61381,,80680.57,,68937.01,,71249.08,,79667.56,
Southern Asia,Black pomfret,Tonnes - live weight,"TLW, Number",11071,,7680,,8222,,10159,,7731,,12679,,13044,,15018,,14993,,14753,,14807,E
Western Asia,Black pomfret,Tonnes - live weight,"TLW, Number",93,,18,,41,,38,,42,,61,,65,,41,,13,,12,,25,E
Western Europe,Black pomfret,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...
Eastern Asia,Black pomfret,Tonnes - live weight,"TLW, Number",744,,319,,388,,418,,52,,99,,117,,133,,152,,244.5,,270.74,
Southern Europe,Black wing flyingfish,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0.03,
Western Asia,Blackbanded trevally,Tonnes - live weight,"TLW, Number",5,,2,,2,,3,,44,,42,E,42,E,42,E,42,E,42,E,42,E
South-Eastern Asia,Blackbanded trevally,Tonnes - live weight,"TLW, Number",1265,,1222,,2804,,2573,,2101,,580,,128,,287,,216,,238,,103.28,
Polynesia,Blackfin barracuda,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0.02,,0,...,0,...,0,...,0,...,0,...,0.04,,0,...
Australia and New Zealand,Blackflash ribbonfish,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,,0.01,,0,,0,,0,,0,,0,,0,
Western Africa,Blue butterfish,Tonnes - live weight,"TLW, Number",6013,,6569,,7636,,6660,,7211,,7586,,7365,,7943,,7072,,6896.37,,6472.26,
Eastern Asia,Blue butterfish,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,,0,
Middle Africa,Blue butterfish,Tonnes - live weight,"TLW, Number",300,,152,,148,,57,,94,,96,,52,,94,,97,,126,,148,
Northern Europe,Blue butterfish,Tonnes - live weight,"TLW, Number",1,,0,N,0,,0,,0,,0,,0,,27,,2,,8.25,,2.52,
Western Europe,Blue butterfish,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...
Southern Europe,Blue butterfish,Tonnes - live weight,"TLW, Number",37,,15,,5,,1,,4,,1,,11,,5,,2,,7.81,,14.88,
Caribbean,Blue butterfish,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...
Central America,Blue butterfish,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Eastern Europe,Blue butterfish,Tonnes - live weight,"TLW, Number",0,,0,,9,,0,,0,,0,,0,,0,,0,,0,...,0,...
Western Asia,Blue butterfish,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...
Others,Blue butterfish,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...
Eastern Europe,Blue fathead,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,9,,0,,0,,46,,0,
Western Europe,Blue fathead,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,65,,0,...,145,,42,,0,,0,,0,...
Northern Europe,Blue fathead,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,41,,196,,0,,0,
Western Europe,Blue jack mackerel,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,3.5,,0,...
Southern Europe,Blue jack mackerel,Tonnes - live weight,"TLW, Number",4707,,5078,,0,...,3314,,3223,,3297,,28019,,4802,,4868,,4464.96,,4893.36,
Australia and New Zealand,Blue jack mackerel,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,26.32,,39.31,,1261.67,,7481.14,,12.36,,17.42,,40.09,,27.26,
Others,Blue jack mackerel,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...
Eastern Asia,Blue mackerel,Tonnes - live weight,"TLW, Number",0,,0,,3324,,12656,,4099,,8889,,22244,,0,,0,...,0,,0,
Australia and New Zealand,Blue mackerel,Tonnes - live weight,"TLW, Number",8026,,14073,,10107,,10060.2,,7176.61,,11988.57,,14879.25,,12115.37,,14687.29,,15271.15,,9722.91,
Western Asia,Blue mackerel,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...
South-Eastern Asia,Blue mackerel,Tonnes - live weight,"TLW, Number",593,,1382,,2423,,1091,,1271,,1412,,2169,,2680.52,,1772,,1106.76,,3026.83,
Eastern Europe,Blue mackerel,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,625,,542,,0,,0,,0,,0,,0,...
South America,Blue runner,Tonnes - live weight,"TLW, Number",1634,,1520,,1654,,1428,,1724,,1550,E,1550,E,1550,E,1550,E,3771.07,,3127.06,
Caribbean,Blue runner,Tonnes - live weight,"TLW, Number",102,,168.06,,187.78,,172.79,,176.76,,141.01,,157.56,,164.16,,407.9,,430.38,,211.71,
Central America,Blue runner,Tonnes - live weight,"TLW, Number",4590,,4030,,5129,,4608,,7517,,9511,,10150,,10557,,11368,,8406,,8019.32,
Northern America,Blue runner,Tonnes - live weight,"TLW, Number",120,,135,,153,,158,,154,,150,,102,,126,,148,,143,,76,
Western Asia,Blue runner,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0.8,,0.45,
Western Europe,Blue runner,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,138.5,,102.53,
Southern Europe,Blue runner,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,1,,1.69,
Western Asia,Bluefin trevally,Tonnes - live weight,"TLW, Number",38,,38,,36,,35,,23,,38,,38,,40,E,32,,39,,28.75,
Polynesia,Bluefin trevally,Tonnes - live weight,"TLW, Number",0.01,,0,...,0,...,0.04,,0,,0,,0.04,,0.07,,0.06,,0.05,,0.16,
Others,Bluefish,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...
Southern Africa,Bluefish,Tonnes - live weight,"TLW, Number",6,,2,,15,,6,,12,,9,,5,,11,,9,,4.42,,1.06,
Northern Africa,Bluefish,Tonnes - live weight,"TLW, Number",1170,,1057,,985,,1469,,1885,,1491,,1359,,1829,,1002,,1644.9,,1563.56,
Western Africa,Bluefish,Tonnes - live weight,"TLW, Number",116,,4604,,5476,,99,,1018,,1029,,446,,381,,1856.01,,1072.25,E,996.96,E
Eastern Africa,Bluefish,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,16,,15,E,15,E,0,
Middle Africa,Bluefish,Tonnes - live weight,"TLW, Number",14,E,22,E,30,E,37,E,45,,476,,1000,E,1899,,2584,,0,,0,
Western Europe,Bluefish,Tonnes - live weight,"TLW, Number",0,,36,,3,,0,,0,,0,,3,,34,,0,...,0,,2,
Northern Europe,Bluefish,Tonnes - live weight,"TLW, Number",43,,11,,0,...,77,,82,,19,,0,...,0,...,0,...,1.32,,0,...
Australia and New Zealand,Bluefish,Tonnes - live weight,"TLW, Number",0,N,109,,55,,58.47,,42.95,,56.59,,55.99,,68.86,,58.44,,54.63,,43.58,
Southern Europe,Bluefish,Tonnes - live weight,"TLW, Number",303,,318,,227,,293,,271,,387,,603,,568,,562,,637.31,,606.22,
South America,Bluefish,Tonnes - live weight,"TLW, Number",4689,,3940,,4689,,4504,,4916,,5044,E,4024,E,4385,E,4775,E,4382,E,4087.49,E
Caribbean,Bluefish,Tonnes - live weight,"TLW, Number",0,...,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Eastern Europe,Bluefish,Tonnes - live weight,"TLW, Number",68,,50,,561,,52,,316,,198,,800,,146,,334,,91.53,,287.2,
Northern America,Bluefish,Tonnes - live weight,"TLW, Number",3330,,2501,,2274,,2084,,2349,,1920,,2056,,1924,,1157,,1429,,1147,
Western Asia,Bluefish,Tonnes - live weight,"TLW, Number",4746,,3124,,7391,,5229,,8389,,4138,,9584,,1939.11,,5769,,1217.03,,3722.41,
Melanesia,Bluestripe herring,Tonnes - live weight,"TLW, Number",15,,12,,15,E,15,E,15,E,15,E,16,E,16,E,16,E,16,E,16,E
Northern America,Bluntnose jack,Tonnes - live weight,"TLW, Number",0,...,1,,5,,3,,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Southern Europe,Bonga shad,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,4,,0,N,3,,1,,2,,0,,0.75,,0,...
Western Europe,Bonga shad,Tonnes - live weight,"TLW, Number",8,,0,,0,,0,,0,,0,,0,,0,,0,...,0,,0,...
Northern Europe,Bonga shad,Tonnes - live weight,"TLW, Number",0,,1,,10,,0,,0,,0,,0,,0,,0,,0,...,0,...
Middle Africa,Bonga shad,Tonnes - live weight,"TLW, Number",63686,E,68033,E,72818,,77175,,81749,,86786,,90960,,97432,,103058,,107983,,102294,E
Western Africa,Bonga shad,Tonnes - live weight,"TLW, Number",183996,,188952,E,199586.91,,306202,,241269.45,,210331,,197484,,309415,,262098.93,,275501.81,,269608,E
Polynesia,Brassy trevally,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0.07,,0,...,0,...,0,...,0,...,0,...,0,...,0.03,
South America,Brazilian menhaden,Tonnes - live weight,"TLW, Number",1027,,880,,1275,,1058,,1375,,893,E,877,E,842,E,839,E,886,E,931.17,E
Caribbean,Brazilian sardinella,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
South America,Brazilian sardinella,Tonnes - live weight,"TLW, Number",62134,,75015,,95920,,98315,,51781,,46400,E,46400,E,46400,E,46400,E,46400,E,46400,E
Eastern Africa,Brilliant pomfret,Tonnes - live weight,"TLW, Number",0,...,0,...,2.54,,2.09,,20.49,,8.98,,12.53,,22.8,,13.49,,38.77,,24.2,
Caribbean,Broad-striped anchovy,Tonnes - live weight,"TLW, Number",0,,1,,2,,0,N,0,,0,,0,,0,,0,,0,,0,
Northern Africa,Buccaneer anchovy,Tonnes - live weight,"TLW, Number",3775,,1719,,338,,3058,,3408,,3110,,3152,,3339,,3066,,6660,,3254,
Eastern Europe,"Butterfishes, pomfrets nei",Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...
South America,"Butterfishes, pomfrets nei",Tonnes - live weight,"TLW, Number",4854,,3120,,3044,,3172,,5918,,3025,,10071,,29991,,4113,,15237.47,,28226.39,
Northern America,"Butterfishes, pomfrets nei",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Western Asia,"Butterfishes, pomfrets nei",Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
South-Eastern Asia,"Butterfishes, pomfrets nei",Tonnes - live weight,"TLW, Number",5157,,5146,,5345,,5304,,5034,,7749,,6163,,6852,,7404.88,,6443.18,,5360.65,
Southern Asia,"Butterfishes, pomfrets nei",Tonnes - live weight,"TLW, Number",42362,,46784,,65326,,50993,,55380,E,45733,E,49082,,52014,,46526,,55340,,104163,
Southern Europe,"Butterfishes, pomfrets nei",Tonnes - live weight,"TLW, Number",126,,256,,122,,77,,68,,74,,91,,72,,65,,365.27,,154.88,
Western Europe,"Butterfishes, pomfrets nei",Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...
Northern Europe,"Butterfishes, pomfrets nei",Tonnes - live weight,"TLW, Number",0,,0,,0,,0,N,0,,0,,0,,0,,0,,0,,0,...
Eastern Asia,"Butterfishes, pomfrets nei",Tonnes - live weight,"TLW, Number",11048,,8783,,7117,,7701,,6373,,5454,,6672,,7575,,9926,,10382.76,,9260.15,
Others,"Butterfishes, pomfrets nei",Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...
Eastern Europe,Californian anchovy,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...
Central America,Californian anchovy,Tonnes - live weight,"TLW, Number",3330,,4938,,76528,,137435,,44392,,34075,,13799,,37823,,15455,,51358,,48995.53,
Northern America,Californian anchovy,Tonnes - live weight,"TLW, Number",1026,,2792,,2488,,6019,,10512,,17286,,8645,,5613,,17515,,10165,,5712,
Southern Africa,Cape fathead,Tonnes - live weight,"TLW, Number",10,,3,,2,,0,,1,,0,,0,,8,,11,,30.17,,8.1,
Others,Cape horse mackerel,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...
Eastern Asia,Cape horse mackerel,Tonnes - live weight,"TLW, Number",1,,1,,0,,0,,0,,0,,0,,0,,0,...,0,,0,
Southern Africa,Cape horse mackerel,Tonnes - live weight,"TLW, Number",219131,,255425,,309826,,319931,,285300,,336312,,348089,,344942,,329976,,324314.48,,211145.52,
Middle Africa,Cape horse mackerel,Tonnes - live weight,"TLW, Number",0,...,0,,0,,0,,36351,,14662,,17661,,10940,,11726,,4179,,8169,
Southern Europe,Cape horse mackerel,Tonnes - live weight,"TLW, Number",2,,0,,0,,35,,132,,332,,215,,192,,314,,238.46,,178.94,
Western Europe,Cape horse mackerel,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...
Northern Europe,Cape horse mackerel,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...
Eastern Europe,Cape horse mackerel,Tonnes - live weight,"TLW, Number",0,,2679,,46968,,14970,,25722,,44768,,19601,,52446,,34967,,0,...,0,...
Caribbean,Cape horse mackerel,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...
Western Asia,Cape horse mackerel,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...
Eastern Asia,Capelin,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Southern Europe,Capelin,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0.03,
Northern Europe,Capelin,Tonnes - live weight,"TLW, Number",396649.59,,720823,,881651,,641937,,206086.68,,504798,,167472,,271155,,398323,,8.13,,15.23,
Western Europe,Capelin,Tonnes - live weight,"TLW, Number",2,,2,,1,,0,,0,,0,,0,,0,,1,,1,,5.58,
Northern America,Capelin,Tonnes - live weight,"TLW, Number",31565,,50794,,55174,,58272,,49250,,81111,,40830,,50956,,43025,,25729,,27020.6,
Eastern Europe,Capelin,Tonnes - live weight,"TLW, Number",78680,,87294,,69706,,60926,,27597,,46184,,9502,,12583,,80901,,11019,,12128,
Caribbean,Capelin,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...
Others,Capelin,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...
Others,Carangids nei,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...
Western Africa,Carangids nei,Tonnes - live weight,"TLW, Number",11915,,16523,,16392,,21080,,11044,,13871,,14583,,8258,,34225.63,,29145.44,,76098.26,
Eastern Asia,Carangids nei,Tonnes - live weight,"TLW, Number",0,...,0,...,199,,153,,0,...,0,...,0,...,65,,0,...,0,...,0,...
Northern Africa,Carangids nei,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,600,,803,,655,,714,,825,
Southern Africa,Carangids nei,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,N,0,,0,
Middle Africa,Carangids nei,Tonnes - live weight,"TLW, Number",200,E,350,E,500,,650,,800,,950,,1092,,0,,0,,0,...,0,
Eastern Africa,Carangids nei,Tonnes - live weight,"TLW, Number",6936,,7409,,5987.69,,8749.18,,5215.35,,5316.71,,6316.27,,6713.83,,6552.41,,7686.37,,6408.9,
Polynesia,Carangids nei,Tonnes - live weight,"TLW, Number",0.05,,0.04,,0.15,,0.06,,0.03,,0.05,,0.43,,0,...,0,,0,...,0,...
Micronesia,Carangids nei,Tonnes - live weight,"TLW, Number",8.46,,7.14,E,6.22,,6.65,,5.49,,5.39,E,5.92,E,6.09,E,5.43,E,2.91,E,3.43,E
Southern Europe,Carangids nei,Tonnes - live weight,"TLW, Number",532,,430,,858,,716,,676,,581,,378,,450,,231,,67.36,,50.3,
Australia and New Zealand,Carangids nei,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,2780.01,,3042.27,
Northern Europe,Carangids nei,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...,0,...
Western Europe,Carangids nei,Tonnes - live weight,"TLW, Number",0,,4,,0,,0,N,0,,0,,35,,2,,3,,0,N,0.51,
Central America,Carangids nei,Tonnes - live weight,"TLW, Number",562,,296,,1059,,2478,,4499,,1042,,877,,685,,819,,716,,773.4,
Eastern Europe,Carangids nei,Tonnes - live weight,"TLW, Number",0,,0,,0,,2,,0,,59,,0,,0,,0,,0,...,0,...
Caribbean,Carangids nei,Tonnes - live weight,"TLW, Number",344.97,,381.84,,493.89,,411.51,,356.72,,298.36,,507.85,,526.63,,292.29,,477.23,,329.71,
South America,Carangids nei,Tonnes - live weight,"TLW, Number",6231,,3363,,2463,,2869,,3010,,2902,E,2927,E,4110,,4043,,3720.82,,3521.82,E
Western Asia,Carangids nei,Tonnes - live weight,"TLW, Number",16723,,8508,,11240,,10510,,10426,,10567,,11507,,9210,,18265,,16887,,19680.46,
Northern America,Carangids nei,Tonnes - live weight,"TLW, Number",8,,8,,11,,10,,8,,6,,8,,10,,8,,9,,8.5,
Southern Asia,Carangids nei,Tonnes - live weight,"TLW, Number",107166,,79065,,82548,,78689,,161737,E,52843,,55769,,45693,,41869,,40141,,30704.5,
South-Eastern Asia,Carangids nei,Tonnes - live weight,"TLW, Number",144262,,134505,,128012,,127980,,122991,,127552,,138733,,163406,,137804.5,,123560.1,,128843.47,
Western Africa,Chilean jack mackerel,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Eastern Asia,Chilean jack mackerel,Tonnes - live weight,"TLW, Number",72153,,42115,,18505,,13596,,25233,,34929,,26637,,30435,,25566,,30142,,24000,E
Northern Europe,Chilean jack mackerel,Tonnes - live weight,"TLW, Number",21778,,0,,0,,10101,,0,,10864,,0,,15129,,9691,,0,...,0,...
Western Europe,Chilean jack mackerel,Tonnes - live weight,"TLW, Number",24190,,1590,,0,,0,,20539,,17091,,9100,,130661,,0,,0,,0,...
Melanesia,Chilean jack mackerel,Tonnes - live weight,"TLW, Number",45908,,7617,,16068,,14809,,15324,,21227,,15563,,0,,0,,0,,0,
Western Asia,Chilean jack mackerel,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...
Central America,Chilean jack mackerel,Tonnes - live weight,"TLW, Number",2240,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...
Eastern Europe,Chilean jack mackerel,Tonnes - live weight,"TLW, Number",33172,,658,,0,,0,,0,,2572,,2863,,3188,,4693,,21296,,5245,
Caribbean,Chilean jack mackerel,Tonnes - live weight,"TLW, Number",0,,8,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...
South America,Chilean jack mackerel,Tonnes - live weight,"TLW, Number",527496,,574583,,420175,,316392,,353358,,312097,,338419,,365390,,502946,,605720.4,,715366.16,
Others,Chilean jack mackerel,Tonnes - live weight,"TLW, Number",0,...,8229,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...
South America,Chilean silverside,Tonnes - live weight,"TLW, Number",397,,859,,1828,,760,,1146,,877,,706,,550,,338,,330,,661,
South America,Clupeoids nei,Tonnes - live weight,"TLW, Number",17477,,16264,,17698,,15274,,18438,,16530,E,19401,E,18734,E,18770,E,18708.24,E,18700,E
Caribbean,Clupeoids nei,Tonnes - live weight,"TLW, Number",2415.31,E,1321.11,E,14.88,,41.4,,55.78,,25.81,,17.38,,23.61,,13.08,,5.12,,14.91,
Eastern Europe,Clupeoids nei,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,113,,0,...
Central America,Clupeoids nei,Tonnes - live weight,"TLW, Number",3418,,3311,,1753,,744,,807,,972,E,302.43,,134.56,,158.81,,167.87,E,288.35,
South-Eastern Asia,Clupeoids nei,Tonnes - live weight,"TLW, Number",34009,,37664,,38004,,45021,,40033,,52823,,57961,,44276,,41323,,49579.79,,55654.75,
Southern Asia,Clupeoids nei,Tonnes - live weight,"TLW, Number",181455,,215243,,239294,,240664,,448086,E,491277,E,417205,,448188,,379259,,383193.9,,357549.7,
Northern America,Clupeoids nei,Tonnes - live weight,"TLW, Number",413,,352,,244,,526,,785,,843,,839,,831,,750,,882,,808.4,
Western Asia,Clupeoids nei,Tonnes - live weight,"TLW, Number",656,E,646,E,611,E,660,E,593,,773,,1727,,467,E,1033,,289.39,,438,E
Micronesia,Clupeoids nei,Tonnes - live weight,"TLW, Number",0,N,0,N,0,N,0,...,17,,18,E,20,E,18,E,18,E,18,E,18,E
Western Europe,Clupeoids nei,Tonnes - live weight,"TLW, Number",0,,8,,0,N,0,N,0,N,0,,1,,38,,9,,3,,2.01,
Northern Europe,Clupeoids nei,Tonnes - live weight,"TLW, Number",0,,0,N,186,,30,,0,,0,,0,,0,,54,,0,N,0,...
Australia and New Zealand,Clupeoids nei,Tonnes - live weight,"TLW, Number",39673,,38233,,41343,,38438.11,,35866.01,,38760.96,,44911.02,,44309.35,,46827.52,,42545.5,,42276.35,
Southern Europe,Clupeoids nei,Tonnes - live weight,"TLW, Number",1046,,2070,,252,,447,,592,,1039,,690,,1663,,395,,120.19,,33.75,
Northern Africa,Clupeoids nei,Tonnes - live weight,"TLW, Number",6689,,7830,,7483,,6834,,6547,,6281,,1138.48,,826.06,,748,,221.36,,1278,
Eastern Asia,Clupeoids nei,Tonnes - live weight,"TLW, Number",72574,,49197,,67075,,60388,,62038,,67012,,64984,,52136,,51223,,60391.22,,59115.36,
Western Africa,Clupeoids nei,Tonnes - live weight,"TLW, Number",100,E,100,E,100,E,100,E,100,E,100,E,100,E,1914,,2709.38,,2750,E,45.8,
Eastern Africa,Clupeoids nei,Tonnes - live weight,"TLW, Number",2912,,2479,,2355,,2457,,2599,,3090.88,,3951.09,,3063.27,,941.2,E,918.12,E,997.06,
Middle Africa,Clupeoids nei,Tonnes - live weight,"TLW, Number",3050,,3030,,5500,E,4780,E,4017,E,4027,E,4000,E,4000,E,4000,E,4000,E,3700,E
Others,Clupeoids nei,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...
Polynesia,Coastal trevally,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0.05,,0,...,0,...,0,...
Southern Africa,Cobia,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,1.06,
Eastern Asia,Cobia,Tonnes - live weight,"TLW, Number",322,,271,,233,,243,,169,,67,,15,,21,,14,,10.46,,11.99,
Western Africa,Cobia,Tonnes - live weight,"TLW, Number",143,,176,,40,,231,,261,,49,,59,,63,,212,,227.9,,155,E
Eastern Africa,Cobia,Tonnes - live weight,"TLW, Number",889,,862,,865.99,,898.35,,1075.38,,1223.9,,1193.79,,1190.34,,1316.99,,2267.5,,1827.87,
