Country (Name),ASFIS species (Name),Unit (Name),Unit,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S,[2019],S,[2020],S
Central America,"Anchovies, etc. nei",Tonnes - live weight,"TLW, Number",504,,43,,46,,103,,134,,56,,62,,62,,69,,76,,72.5,
South-Eastern Asia,"Anchovies, etc. nei",Tonnes - live weight,"TLW, Number",138643,,142834,,129382,,116710,,127691,,102108,,129608,,120809,,130891,,143218,,142036.8,
Southern Asia,"Anchovies, etc. nei",Tonnes - live weight,"TLW, Number",113648,,120140,,120694,,130624,,149927,E,89357,E,86495,,87009,,107475,,95649,,89177,
Northern America,"Anchovies, etc. nei",Tonnes - live weight,"TLW, Number",30,,0,...,1,,1,,0,...,0,...,0,...,0,...,2,,0,...,0,...
Western Asia,"Anchovies, etc. nei",Tonnes - live weight,"TLW, Number",5898,,3015,,3590,,4274,,7925,,7700,,8171,,8102,,12659,,17482,,13601.14,
Australia and New Zealand,"Anchovies, etc. nei",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0.28,,1.31,,0,,0.09,,0.66,,5.8,,2.65,,0.3,
Others,"Anchovies, etc. nei",Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...
Caribbean,Araucanian herring,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...
South America,Araucanian herring,Tonnes - live weight,"TLW, Number",750750,,887272,,848466,,236968,,543278,,435863,,280421,,344262,,345422,,320147,,263853,
Others,Argentine anchovy,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...
South America,Argentine anchovy,Tonnes - live weight,"TLW, Number",26323,,21164,,15434,,18208,,13955,,14411,,8713,,10546,,8745,,6108,,8266.05,
Eastern Europe,Argentine anchovy,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...
Northern Europe,Argentine anchovy,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...
South America,Argentine menhaden,Tonnes - live weight,"TLW, Number",97,,0,...,304,,857,,1832,,3005,,2990,,3943,,3260,,2280,E,1530,E
South America,Atlantic anchoveta,Tonnes - live weight,"TLW, Number",210,E,1,,3,,10,E,17,,0,,5,,5,E,5,E,5,E,5,E
Middle Africa,Atlantic bumper,Tonnes - live weight,"TLW, Number",847,,60,,174,,124,,113,,116,,99,,204,,722,,230,,223.16,
Western Africa,Atlantic bumper,Tonnes - live weight,"TLW, Number",13985,,18555,,27173.29,,33069,,34129.43,,26731,,29743,,48927,,26018.26,,29727.05,,28995.12,
Northern Europe,Atlantic bumper,Tonnes - live weight,"TLW, Number",510,,3923,,2110,,1071,,2,,0,,1,,0,...,0,...,0,...,0,...
Western Europe,Atlantic bumper,Tonnes - live weight,"TLW, Number",54,,10,,2,,0,,0,,0,,0,,0,,0,...,0,,0,...
Northern America,Atlantic bumper,Tonnes - live weight,"TLW, Number",16,,35,,64,,45,,32,,27,,15,,39,,33,,27,,6,
Eastern Europe,Atlantic bumper,Tonnes - live weight,"TLW, Number",0,,80,,964,,1036,,363,,4,,430,,102,,43,,136,,89,
Caribbean,Atlantic bumper,Tonnes - live weight,"TLW, Number",0.03,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
South America,Atlantic bumper,Tonnes - live weight,"TLW, Number",2806,,2612,,2842,,2453,,2961,,2660,E,2965,E,2996,E,2981,E,3170.02,E,3098.81,E
Others,Atlantic bumper,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...
Southern Europe,Atlantic butterfish,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...
Western Europe,Atlantic butterfish,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...
Northern Europe,Atlantic butterfish,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...
Northern America,Atlantic butterfish,Tonnes - live weight,"TLW, Number",576,,714,,747,,1161,,3136,,2106,,1201,,3687,,1750,,3451,,2807,
Eastern Europe,Atlantic butterfish,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...
Central America,Atlantic butterfish,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...
Caribbean,Atlantic butterfish,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...
Eastern Asia,Atlantic butterfish,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Others,Atlantic butterfish,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...
Eastern Asia,Atlantic chub mackerel,Tonnes - live weight,"TLW, Number",153,,9700,,6220,,565,,1938,,3454,,287,,260,,0,...,0,...,0,...
Western Africa,Atlantic chub mackerel,Tonnes - live weight,"TLW, Number",17012,,45046,,53945.44,,15489,,18113.77,,26510,,38961,,42089,,50949.55,,61564.65,,55425.12,
Southern Africa,Atlantic chub mackerel,Tonnes - live weight,"TLW, Number",3004,E,1772,,192,,182,,1157,,1255,,827,,995,,3399,,6669.65,,5797.48,
Northern Africa,Atlantic chub mackerel,Tonnes - live weight,"TLW, Number",75890,,121261,,126611,,162921,,185252,,170483,,216099,,127200,,159938,,211628.3,,186590.33,
